Accuracy,Precision,Recall,F1,ROC-AUC
0.687,0.6075268817204301,0.5750636132315522,0.5908496732026144,0.726913741715608
0.6605,0.5723951285520974,0.5381679389312977,0.5547540983606557,0.7145039215932861
0.68,0.603399433427762,0.5419847328244275,0.5710455764075067,0.7340133765945227
